"INSTANT COFFEE TYPE,REGION,SUB REGION,Country,Country Code,Segment,Sub-segment,SBUX Segments,Manufacturer,Brand,Time,Volume in cups Sales,Value Sales Local"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-01-2019,3342790,5353912"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-02-2019,7477088,16849229"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-03-2019,7300757,72408256"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-04-2019,7858807,86124153"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-05-2019,3563751,89740072"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-12-2019,93894,48807107"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-01-2020,5874710,7386349"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-02-2020,2970157,89289375"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-03-2020,148995,59022912"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-04-2020,2668207,58872536"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-05-2020,6081037,24687004"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-06-2020,6491282,95740097"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-07-2020,1399205,45836757"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-08-2020,2213287,91811534"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-09-2020,4385698,87280125"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-06-2019,5433017,70566679"
